COST_BASIS,AVERAGE_BALANCE_RUB,EXPECTED_ACTIVE_MONTHS,EXPECTED_OPEN_MONTHS,FEE_REVENUE_LTV_RUB,BALANCE_REVENUE_LTV_RUB,SERVICE_COST_LTV_RUB,MARGIN_BEFORE_CAC_RUB,UNIT_MARGIN_AFTER_CAC_RUB,REQUIRED_NEW_CLIENTS_MONTH,IS_UNIT_ECONOMICS_POSITIVE
Только активные месяцы,575000,14.734205454471107,22.749557649867832,14734.205454471106,70601.4011360074,7367.102727235553,77968.50386324295,72968.50386324295,69.0,1
Только активные месяцы,600000,14.734205454471107,22.749557649867832,14734.205454471106,73671.02727235555,7367.102727235553,81038.1299995911,76038.1299995911,66.0,1
Только активные месяцы,625000,14.734205454471107,22.749557649867832,14734.205454471106,76740.6534087037,7367.102727235553,84107.75613593924,79107.75613593924,64.0,1
Только активные месяцы,650000,14.734205454471107,22.749557649867832,14734.205454471106,79810.27954505185,7367.102727235553,87177.38227228739,82177.38227228739,61.0,1
Только активные месяцы,675000,14.734205454471107,22.749557649867832,14734.205454471106,82879.90568139999,7367.102727235553,90247.00840863553,85247.00840863553,59.0,1
Только активные месяцы,700000,14.734205454471107,22.749557649867832,14734.205454471106,85949.53181774812,7367.102727235553,93316.63454498368,88316.63454498368,57.0,1
Только активные месяцы,725000,14.734205454471107,22.749557649867832,14734.205454471106,89019.15795409627,7367.102727235553,96386.26068133183,91386.26068133183,55.0,1
Только активные месяцы,750000,14.734205454471107,22.749557649867832,14734.205454471106,92088.78409044443,7367.102727235553,99455.88681767997,94455.88681767997,53.0,1
Только активные месяцы,775000,14.734205454471107,22.749557649867832,14734.205454471106,95158.41022679256,7367.102727235553,102525.51295402812,97525.51295402812,52.0,1
Только активные месяцы,800000,14.734205454471107,22.749557649867832,14734.205454471106,98228.03636314072,7367.102727235553,105595.13909037627,100595.13909037627,50.0,1
Только активные месяцы,825000,14.734205454471107,22.749557649867832,14734.205454471106,101297.66249948886,7367.102727235553,108664.76522672441,103664.76522672441,49.0,1
Только активные месяцы,850000,14.734205454471107,22.749557649867832,14734.205454471106,104367.28863583702,7367.102727235553,111734.39136307256,106734.39136307256,47.0,1
Только активные месяцы,875000,14.734205454471107,22.749557649867832,14734.205454471106,107436.91477218516,7367.102727235553,114804.0174994207,109804.0174994207,46.0,1
Только активные месяцы,900000,14.734205454471107,22.749557649867832,14734.205454471106,110506.54090853331,7367.102727235553,117873.64363576885,112873.64363576885,45.0,1
Только активные месяцы,925000,14.734205454471107,22.749557649867832,14734.205454471106,113576.16704488145,7367.102727235553,120943.269772117,115943.269772117,44.0,1
Только активные месяцы,950000,14.734205454471107,22.749557649867832,14734.205454471106,116645.79318122962,7367.102727235553,124012.89590846517,119012.89590846517,43.0,1
Только активные месяцы,975000,14.734205454471107,22.749557649867832,14734.205454471106,119715.41931757775,7367.102727235553,127082.52204481329,122082.52204481329,41.0,1
Только активные месяцы,1000000,14.734205454471107,22.749557649867832,14734.205454471106,122785.04545392591,7367.102727235553,130152.14818116146,125152.14818116146,40.0,1
Все открытые месяцы,0,14.734205454471107,22.749557649867832,14734.205454471106,0.0,11374.778824933916,3359.426629537191,-1640.5733704628092,,0
Все открытые месяцы,25000,14.734205454471107,22.749557649867832,14734.205454471106,3069.6261363481476,11374.778824933916,6429.052765885337,1429.052765885337,3499.0,1
Все открытые месяцы,50000,14.734205454471107,22.749557649867832,14734.205454471106,6139.252272696295,11374.778824933916,9498.678902233487,4498.678902233487,1112.0,1
Все открытые месяцы,75000,14.734205454471107,22.749557649867832,14734.205454471106,9208.878409044444,11374.778824933916,12568.305038581637,7568.305038581637,661.0,1
Все открытые месяцы,100000,14.734205454471107,22.749557649867832,14734.205454471106,12278.50454539259,11374.778824933916,15637.931174929783,10637.931174929783,471.0,1
Все открытые месяцы,125000,14.734205454471107,22.749557649867832,14734.205454471106,15348.130681740739,11374.778824933916,18707.55731127793,13707.557311277931,365.0,1
Все открытые месяцы,150000,14.734205454471107,22.749557649867832,14734.205454471106,18417.75681808889,11374.778824933916,21777.183447626077,16777.183447626077,299.0,1
Все открытые месяцы,175000,14.734205454471107,22.749557649867832,14734.205454471106,21487.38295443703,11374.778824933916,24846.809583974224,19846.809583974224,252.0,1
Все открытые месяцы,200000,14.734205454471107,22.749557649867832,14734.205454471106,24557.00909078518,11374.778824933916,27916.43572032237,22916.43572032237,219.0,1
Все открытые месяцы,225000,14.734205454471107,22.749557649867832,14734.205454471106,27626.635227133327,11374.778824933916,30986.061856670516,25986.061856670516,193.0,1
Все открытые месяцы,250000,14.734205454471107,22.749557649867832,14734.205454471106,30696.261363481477,11374.778824933916,34055.68799301867,29055.68799301867,173.0,1
Все открытые месяцы,275000,14.734205454471107,22.749557649867832,14734.205454471106,33765.88749982962,11374.778824933916,37125.314129366816,32125.314129366816,156.0,1
Все открытые месяцы,300000,14.734205454471107,22.749557649867832,14734.205454471106,36835.51363617778,11374.778824933916,40194.94026571497,35194.94026571497,143.0,1
Все открытые месяцы,325000,14.734205454471107,22.749557649867832,14734.205454471106,39905.13977252592,11374.778824933916,43264.566402063116,38264.566402063116,131.0,1
Все открытые месяцы,350000,14.734205454471107,22.749557649867832,14734.205454471106,42974.76590887406,11374.778824933916,46334.192538411255,41334.192538411255,121.0,1
Все открытые месяцы,375000,14.734205454471107,22.749557649867832,14734.205454471106,46044.392045222216,11374.778824933916,49403.81867475941,44403.81867475941,113.0,1
Все открытые месяцы,400000,14.734205454471107,22.749557649867832,14734.205454471106,49114.01818157036,11374.778824933916,52473.444811107554,47473.444811107554,106.0,1
Все открытые месяцы,425000,14.734205454471107,22.749557649867832,14734.205454471106,52183.64431791851,11374.778824933916,55543.0709474557,50543.0709474557,99.0,1
Все открытые месяцы,450000,14.734205454471107,22.749557649867832,14734.205454471106,55253.270454266654,11374.778824933916,58612.69708380385,53612.69708380385,94.0,1
Все открытые месяцы,475000,14.734205454471107,22.749557649867832,14734.205454471106,58322.89659061481,11374.778824933916,61682.32322015201,56682.32322015201,89.0,1
Все открытые месяцы,500000,14.734205454471107,22.749557649867832,14734.205454471106,61392.522726962954,11374.778824933916,64751.949356500154,59751.949356500154,84.0,1
Все открытые месяцы,525000,14.734205454471107,22.749557649867832,14734.205454471106,64462.1488633111,11374.778824933916,67821.5754928483,62821.57549284829,80.0,1
Все открытые месяцы,550000,14.734205454471107,22.749557649867832,14734.205454471106,67531.77499965925,11374.778824933916,70891.20162919644,65891.20162919644,76.0,1
Все открытые месяцы,575000,14.734205454471107,22.749557649867832,14734.205454471106,70601.4011360074,11374.778824933916,73960.82776554459,68960.82776554459,73.0,1
Все открытые месяцы,600000,14.734205454471107,22.749557649867832,14734.205454471106,73671.02727235555,11374.778824933916,77030.45390189273,72030.45390189273,70.0,1
Все открытые месяцы,625000,14.734205454471107,22.749557649867832,14734.205454471106,76740.6534087037,11374.778824933916,80100.08003824088,75100.08003824088,67.0,1
Все открытые месяцы,650000,14.734205454471107,22.749557649867832,14734.205454471106,79810.27954505185,11374.778824933916,83169.70617458902,78169.70617458902,64.0,1
Все открытые месяцы,675000,14.734205454471107,22.749557649867832,14734.205454471106,82879.90568139999,11374.778824933916,86239.33231093717,81239.33231093717,62.0,1
Все открытые месяцы,700000,14.734205454471107,22.749557649867832,14734.205454471106,85949.53181774812,11374.778824933916,89308.95844728532,84308.95844728532,60.0,1
Все открытые месяцы,725000,14.734205454471107,22.749557649867832,14734.205454471106,89019.15795409627,11374.778824933916,92378.58458363346,87378.58458363346,58.0,1
Все открытые месяцы,750000,14.734205454471107,22.749557649867832,14734.205454471106,92088.78409044443,11374.778824933916,95448.21071998161,90448.21071998161,56.0,1
Все открытые месяцы,775000,14.734205454471107,22.749557649867832,14734.205454471106,95158.41022679256,11374.778824933916,98517.83685632976,93517.83685632976,54.0,1
Все открытые месяцы,800000,14.734205454471107,22.749557649867832,14734.205454471106,98228.03636314072,11374.778824933916,101587.4629926779,96587.4629926779,52.0,1
Все открытые месяцы,825000,14.734205454471107,22.749557649867832,14734.205454471106,101297.66249948886,11374.778824933916,104657.08912902605,99657.08912902605,51.0,1
Все открытые месяцы,850000,14.734205454471107,22.749557649867832,14734.205454471106,104367.28863583702,11374.778824933916,107726.7152653742,102726.7152653742,49.0,1
Все открытые месяцы,875000,14.734205454471107,22.749557649867832,14734.205454471106,107436.91477218516,11374.778824933916,110796.34140172234,105796.34140172234,48.0,1
Все открытые месяцы,900000,14.734205454471107,22.749557649867832,14734.205454471106,110506.54090853331,11374.778824933916,113865.96753807049,108865.96753807049,46.0,1
Все открытые месяцы,925000,14.734205454471107,22.749557649867832,14734.205454471106,113576.16704488145,11374.778824933916,116935.59367441863,111935.59367441863,45.0,1
Все открытые месяцы,950000,14.734205454471107,22.749557649867832,14734.205454471106,116645.79318122962,11374.778824933916,120005.21981076681,115005.21981076681,44.0,1
Все открытые месяцы,975000,14.734205454471107,22.749557649867832,14734.205454471106,119715.41931757775,11374.778824933916,123074.84594711493,118074.84594711493,43.0,1
Все открытые месяцы,1000000,14.734205454471107,22.749557649867832,14734.205454471106,122785.04545392591,11374.778824933916,126144.4720834631,121144.4720834631,42.0,1
