TENURE_MONTH,ELIGIBLE_ACCOUNTS,OPEN_ACCOUNTS,ACTIVE_ACCOUNTS,SURVIVAL_RATE,ACTIVE_PROBABILITY,ACTIVE_RATE_AMONG_OPEN,IS_RELIABLE_SAMPLE,NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,CUM_NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ACTIVE_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ALL_OPEN_SERVICE_RUB
0,20125,20125,11387,1.0,0.5658136645962732,0.5658136645962732,1,282.90683229813664,65.81366459627327,282.90683229813664,65.81366459627327,-4717.093167701863,-4934.186335403727
1,19556,19362,13445,0.9900797709142974,0.6875127838003682,0.6944014048135523,1,343.7563919001841,192.47289834321947,626.6632241983207,258.28656293949274,-4373.336775801679,-4741.713437060507
2,18857,18198,12731,0.9650527655512542,0.6751339025295646,0.6995823716891966,1,337.5669512647823,192.60751975393748,964.230175463103,450.8940826934302,-4035.769824536897,-4549.10591730657
3,18189,17096,11939,0.9399087360492605,0.6563857276375832,0.6983504913430042,1,328.1928638187916,186.43135961295292,1292.4230392818945,637.3254423063831,-3707.5769607181055,-4362.674557693617
4,17504,16092,11206,0.9193327239488117,0.6401965265082267,0.6963708675118071,1,320.09826325411336,180.53016453382088,1612.5213025360079,817.855606840204,-3387.478697463992,-4182.144393159796
5,16931,15284,10494,0.9027228161360817,0.6198098163132715,0.6866003663962313,1,309.9049081566357,168.44840824523055,1922.4262106926435,986.3040150854346,-3077.5737893073565,-4013.6959849145655
6,15998,14129,9531,0.8831728966120765,0.5957619702462807,0.6745700332649162,1,297.88098512314036,154.17552194024245,2220.307195815784,1140.479537025677,-2779.692804184216,-3859.520462974323
7,15139,13081,8865,0.864059713323205,0.5855736838628708,0.6777004816145554,1,292.7868419314354,153.5438272012683,2513.0940377472193,1294.0233642269454,-2486.9059622527807,-3705.9766357730546
8,14388,12259,8194,0.8520294690019461,0.5695023630803447,0.6684068847377437,1,284.75118154017235,143.4876285793717,2797.8452192873915,1437.510992806317,-2202.1547807126085,-3562.489007193683
9,13631,11461,7703,0.8408040495928398,0.5651089428508547,0.6721054009248757,1,282.5544714254273,144.7069180544347,3080.399690712819,1582.2179108607518,-1919.600309287181,-3417.7820891392485
10,13004,10748,7083,0.8265149184866195,0.5446785604429406,0.6590063267584667,1,272.3392802214703,131.4211011996308,3352.7389709342892,1713.6390120603826,-1647.2610290657108,-3286.360987939617
11,12272,10007,6629,0.8154335071707953,0.5401727509778357,0.6624362945937844,1,270.08637548891784,132.455997392438,3622.825346423207,1846.0950094528207,-1377.174653576793,-3153.9049905471793
12,11653,9310,6142,0.7989358963357075,0.5270745730713121,0.6597207303974221,1,263.53728653565605,127.60662490345834,3886.3626329588633,1973.701634356279,-1113.6373670411367,-3026.298365643721
13,11006,8639,5673,0.784935489732873,0.5154461202980193,0.656673226067832,1,257.72306014900965,122.97837543158283,4144.085693107873,2096.6800097878618,-855.9143068921267,-2903.3199902121382
14,10259,7925,5174,0.7724924456574714,0.5043376547421776,0.6528706624605678,1,252.1688273710888,118.09143191344191,4396.254520478962,2214.7714417013035,-603.7454795210379,-2785.2285582986965
15,9557,7275,4628,0.7612221408391755,0.4842523804541174,0.6361512027491409,1,242.1261902270587,103.64131003452962,4638.380710706021,2318.412751735833,-361.6192892939789,-2681.587248264167
16,8829,6617,4190,0.7494620002265262,0.4745724317589761,0.6332174701526372,1,237.28621587948805,99.84143164571299,4875.666926585509,2418.2541833815458,-124.33307341449108,-2581.7458166184542
